nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0175262	Billy Connolly	1942	\N	actor,writer,composer	tt0144117,tt0443701,tt1217209,tt0119280
nm0178292	Patience Cooper	\N	\N	actress	tt0233160,tt0234431,tt0155092,tt0154931
nm0181300	Rita Cortese	1949	\N	actress,producer	tt0283383,tt0456246,tt0282327,tt3011894
nm0181567	Max Cortés	1971	\N	actor,director,writer	tt1877668,tt2406222,tt2406400,tt1042373
nm0184208	Jorge Coutinho	1934	\N	actor,executive	tt0184362,tt0352971,tt0077426,tt0426097
nm0184285	Brigitte Couture	\N	\N	director,miscellaneous,casting_department	tt0131689,tt1534993,tt2552026,tt12017938
nm0184387	Bob Cove	\N	\N	production_designer,writer,art_department	tt0092438,tt0295811,tt0056751,tt2813882
nm0184785	Jane Cowl	1884	1950	writer,actress	tt0008622,tt0043910,tt0034203,tt0005374
nm0186386	Les Crane	1933	2008	actor,soundtrack,producer	tt0056745,tt0060099,tt0070207,tt0116930
nm0187981	Donald Crisp	1882	1974	actor,director,writer	tt0009968,tt0033729,tt0032145,tt0030287
nm0188070	Mirla Criste	\N	\N	actress	tt3835734,tt4292286,tt0201394,tt14761534
nm0188245	Lisa Crittenden	1962	\N	actress	tt0098911,tt0108709,tt0077064,tt0112230
nm0188592	Jonathan Crombie	1966	2015	actor,writer,director	tt0088727,tt0092571,tt0090779,tt0158466
nm0188797	Paul Cronin	1938	2019	actor	tt0067408,tt0075281,tt0121956,tt0198237
nm0189220	Marcia Cross	1962	\N	actress	tt0410975,tt0318883,tt8036816,tt4428122
nm0190859	Alfonso Cuarón	1961	\N	producer,writer,director	tt1454468,tt0245574,tt6155172,tt0206634
nm0190860	Carlos Cuarón	1966	\N	writer,director,producer	tt0102958,tt2171118,tt0245574,tt0405393
nm0193041	Ann Curry	1956	\N	actress,producer	tt0496424,tt1856010,tt0103396,tt0203259
nm0194579	Víctor Cámara	1959	\N	actor	tt1043716,tt1275297,tt0261488,tt0224974
nm0194685	Henrique César	1933	2018	actor	tt0194511,tt2066949,tt0254854,tt0251503
nm0195469	Marques D'Arede	1949	\N	actor	tt0418420,tt0324691,tt1976491,tt5821784
nm0198636	David Dameshek	\N	\N	writer,actor,producer	tt1068683,tt0259128,tt0369121,tt0318959
nm0198852	Pedro Damián	1952	\N	director,producer,cinematographer	tt0284490,tt9001656,tt0211851,tt0233469
nm0199250	Jill Dando	1961	1999		tt0185794,tt0199190,tt0200325,tt0267207
nm0199421	Darius Campbell	1980	2022	soundtrack,actor,producer	tt0475047,tt4781612,tt2654536,tt0302163
nm0199939	Gary Daniels	1963	\N	actor,producer,stunts	tt0411951,tt6156656,tt0113074,tt1320253
nm0201999	Vladimir Dashkevich	1934	\N	composer,soundtrack	tt0130392,tt0124207,tt7624662,tt0096121
nm0203964	Ryan Davies	1937	1977	actor,writer	tt1397129,tt0070854,tt0071325,tt0302182
nm0204496	Donald Davis	1928	1998	actor	tt0050792,tt0168437,tt0348926,tt0446859
nm0206257	Rosario Dawson	1979	\N	actress,producer,soundtrack	tt0294870,tt0401792,tt0477080,tt4116284
nm0206372	Darren Day	1968	\N	actor,soundtrack	tt7858466,tt0092355,tt3721082,tt8028600
nm0206816	Akitarô Daichi	1956	\N	director,art_department,writer	tt0095327,tt0318898,tt0192903,tt0328738
nm0207010	Gilberto de Anda	1955	\N	actor,writer,director	tt0353891,tt0287856,tt1754945,tt0229288
nm0207637	Nigel De Brulier	1877	1948	actor,miscellaneous	tt0033317,tt0031448,tt0012752,tt0016641
nm0207863	Pio De Castro III	\N	2001	actor,director,writer	tt0468121,tt0374763,tt0398692,tt0073363
nm0208111	Frederick De Cordova	1910	2001	producer,director,actor	tt0042287,tt0085794,tt0041502,tt0055708
nm0209680	Yelyna De Leon	\N	\N	actress,writer,producer	tt2249007,tt0157246,tt1586680,tt1554091
nm0209877	Myriam De Lourdes	1958	\N	actress,writer	tt0216459,tt3064632,tt0246391,tt0216479
nm0212818	Jimmy Dean	1928	2010	soundtrack,actor	tt0092380,tt0066995,tt0099134,tt0057742
nm0213352	Debbie D	1972	\N	actress,producer,writer	tt5020866,tt1279329,tt10295298,tt4129594
nm0214053	Jirí Ded	1922	2001	actor	tt0138716,tt0108388,tt0107677,tt0110246
nm0214418	Rick Dees	1950	\N	actor,writer,soundtrack	tt0079540,tt0076666,tt0093378,tt0139803
nm0216358	Ilse DeLange	1977	\N	soundtrack,actress,writer	tt2352230,tt0108977,tt0365194,tt1094241
nm0217087	Yuri Delgado	\N	\N	director,miscellaneous	tt1885930,tt3001924,tt2369728,tt0368531
nm0220002	Susan DePalma	\N	\N	producer,miscellaneous	tt0482179,tt2271208,tt0857408,tt0281906
nm0220900	Virginie Desarnauts	1974	\N	actress	tt0374583,tt8559682,tt1302901,tt0825271
nm0222066	Armelle Deutsch	1979	\N	actress	tt0310203,tt0243493,tt1270766,tt0428189
nm0222523	Gianfranco Romagnoli	\N	\N	director,location_management,producer	tt7251246,tt12645336,tt1279461,tt7251014
nm0224007	John DiMaggio	1968	\N	actor,music_department,soundtrack	tt2077823,tt5090568,tt6718170,tt14921986
