nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0532682	Ari Macht	\N	\N	editor,editorial_department,actor	tt11815894,tt0407937,tt6856740,tt6769236
nm0533306	Gisele MacKenzie	1927	2003	actress,soundtrack,miscellaneous	tt0069658,tt0056745,tt0764239,tt0042172
nm0533334	John Mackenzie	1928	2011	director,editor,miscellaneous	tt0081070,tt0099991,tt0194350,tt0093044
nm0534779	Richard Madeley	1956	\N	producer,actor	tt0264246,tt0445114,tt0284837,tt0299374
nm0534997	Magalie Madison	1973	\N	actress	tt1738562,tt0792965,tt0172040,tt0171978
nm0535070	Mitsuaki Madono	1964	\N	actor	tt6331904,tt1567735,tt1263228,tt0923811
nm0535348	Steven Maeda	\N	\N	producer,writer,script_department	tt0313043,tt0801425,tt0106179,tt0411008
nm0538136	Mitsuru Majima	\N	\N	writer,miscellaneous,producer	tt0185825,tt0203960,tt0362344,tt0185070
nm0540416	Dorothy Malone	1924	2018	actress,soundtrack	tt0046969,tt0038355,tt0103772,tt0049966
nm0543129	Kim Manners	1951	2009	producer,director,production_manager	tt0092455,tt0073972,tt0460681,tt0106179
nm0546068	Ann Marcus	1921	2014	writer,producer,miscellaneous	tt0061275,tt0058796,tt0043229,tt0074021
nm0548114	Marisol	1948	\N	soundtrack,actress	tt0054233,tt0075969,tt0054957,tt0297606
nm0549373	Julio César Mármol	1937	2010	writer,director,composer	tt1479622,tt0065679,tt0354292,tt0072721
nm0552445	Jacques Martin	1933	2007	producer,soundtrack,actor	tt0142082,tt0282775,tt0353111,tt10846430
nm0552737	Marialejandra Martin	1964	\N	actress,costume_department,producer	tt0091255,tt0344484,tt5020344,tt0320925
nm0555609	Franz Marx	1943	2021	writer,producer,director	tt0406519,tt2035579,tt3665958,tt0128176
nm0556494	Scott Maslen	1971	\N	actor	tt0084987,tt0350047,tt0088512,tt0144714
nm0556789	Judi Ann Mason	1955	2009	writer,producer,miscellaneous	tt0070991,tt0108147,tt0096593,tt0111880
nm0557236	Ariane Massenet	1965	\N	actress,soundtrack,miscellaneous	tt5684214,tt0313144,tt0828763,tt0272225
nm0557733	Christopher Masterson	1980	\N	actor,producer,soundtrack	tt0257106,tt0119738,tt0112760,tt0212671
nm0558268	Rosa María Mateo	1943	\N	actress,miscellaneous	tt0454697,tt0083583,tt0068340,tt0244347
nm0559427	Naomi Matsuda	\N	\N	actress	tt0092325,tt7587890,tt12593682,tt7414406
nm0559564	Toshio Matsumoto	1932	2017	director,writer,editor	tt0228477,tt0223154,tt0064068,tt0165473
nm0561670	Casey Maxwell	\N	\N	cinematographer,soundtrack	tt0161622,tt0138878,tt0152527,tt0123753
nm0562400	Henry 'Hy' Mayer	1868	1954	animation_department,director,writer	tt0010742,tt0144991,tt0141860,tt0270675
nm0562561	Carmen Mayerová	1944	\N	actress,soundtrack	tt0171414,tt0138820,tt0063633,tt0278628
nm0563642	Dominique Mazzoléni	\N	\N	editor,editorial_department	tt2148289,tt5689684,tt1401636,tt0230745
nm0566699	Victor Miller	1940	\N	writer,actor,producer	tt0080761,tt4420040,tt0065272,tt0211443
nm0567022	John McCririck	1940	2019	actor	tt0281491,tt0094519,tt0220931,tt3860152
nm0571298	Sean McKelvey	\N	\N	camera_department,cinematographer	tt0112418,tt1075417,tt0113627,tt0113613
nm0573012	Ed McMahon	1923	2009	actor,producer,soundtrack	tt0384680,tt0076059,tt0374536,tt0055708
nm0573093	Vince McMahon	1945	\N	producer,actor,writer	tt0327850,tt0437179,tt0419946,tt0185103
nm0574686	Patrick McVey	1910	1973	actor	tt0069466,tt0053125,tt0052050,tt0069765
nm0574790	Oscar McWilliam	1987	\N	actor,miscellaneous	tt0113581,tt1399288,tt0434718,tt0149466
nm0575114	Ray Meagher	1944	\N	actor	tt0092830,tt0094481,tt0080310,tt0090439
nm0576830	Henri Meilhac	1831	1897	writer,soundtrack,music_department	tt0178299,tt0022112,tt0017409,tt1727824
nm0578466	Cyron Melville	1984	\N	actor	tt1937390,tt1454577,tt1276419,tt0995029
nm0579510	Glória Menezes	1934	\N	actress	tt1256139,tt0205651,tt0202726,tt0145612
nm0582374	Grace Metalious	1924	1964	writer	tt0089805,tt0057779,tt0055370,tt0050839
nm0585912	Sergey Migitsko	1953	\N	actor	tt2518574,tt0078098,tt5674962,tt6353020
nm0586910	Albert Millaud	1844	1892	writer,soundtrack	tt0022112,tt0057080,tt0132300,tt0174972
nm0590293	Natalia Millán	1969	\N	actress,music_department,soundtrack	tt0415183,tt11238932,tt4136774,tt0460897
nm0590869	Mina	1940	\N	music_artist,soundtrack,actress	tt6320628,tt0099685,tt9606374,tt0875034
nm0591517	Michael Minnis	\N	\N	writer,miscellaneous	tt0092325,tt0069658
nm0596393	John de Mol	1955	\N	writer,producer,miscellaneous	tt1839337,tt1700423,tt3420108,tt0094509
nm0596913	Marta Molins	\N	\N	writer,actress,miscellaneous	tt0086104,tt0091805,tt0081218,tt1267504
nm0597232	Paddy Moloney	1938	2021	composer,soundtrack,music_department	tt1735898,tt0217505,tt0072684,tt0120595
nm0597233	Paul Moloney	\N	\N	director,producer,sound_department	tt0291832,tt0108792,tt2329424,tt1767256
nm0597574	Paul Monash	1917	2003	writer,producer,miscellaneous	tt0090728,tt0061271,tt0074285,tt0064115
nm0598777	Lee Montague	1927	\N	actor	tt0077272,tt0061789,tt0069824,tt0044926
nm0601580	Marshall D. Moore	\N	\N	location_management,producer,miscellaneous	tt0435651,tt2369135,tt1815862,tt0401729
nm0601931	Terry Moore	\N	\N	music_department,editorial_department,sound_department	tt0177438,tt0105988,tt0069641,tt0191149
nm0601952	Thurston Moore	1958	\N	soundtrack,composer,actor	tt1659337,tt0242193,tt0109068,tt2854926
nm0602131	Irene Moors	1967	\N	actress,writer,soundtrack	tt1643032,tt0391695,tt11411858,tt0126754
nm0602784	Vina Morales	1975	\N	actress,music_department,soundtrack	tt0336543,tt0337145,tt0422946,tt4304364
nm0603402	Jeanne Moreau	1928	2017	actress,soundtrack,director	tt0052556,tt0055032,tt0100263,tt0051378
nm0604976	Richard Morgan	1958	2006	actor	tt0088580,tt0219457,tt0142052,tt0075281
nm0605600	Anthony Morina	\N	\N	producer,director,assistant_director	tt0244364,tt0069658,tt0122021,tt0056758
nm0607027	Renae Morriseau	\N	\N	actress,director,producer	tt0351519,tt0106087,tt0106179,tt0231212
nm0607472	Clay Morrow	1974	\N	writer,art_department,director	tt10611608,tt1600757,tt0448694,tt2768802
nm0608007	Jennifer Morton	\N	\N	producer,cinematographer,director	tt0418383,tt0488262,tt1743008,tt0104465
nm0608498	James E. Moser	1921	1993	writer,producer,miscellaneous	tt0057784,tt0072493,tt0054519,tt0046623
nm0608718	Clementine Mosimane	\N	\N	actress	tt9248912,tt13492362,tt27728519,tt5593258
nm0609706	Mouli	\N	\N	actor,director,writer	tt6847338,tt0422908,tt1579651,tt13701540
nm0611148	Wanja Mues	1973	\N	actor,director,assistant_director	tt0833574,tt0372183,tt0121037,tt0253474
nm0611603	Mukkamala	1920	1987	actor,director	tt0245261,tt0245390,tt0249795,tt0265799
nm0613121	Hector Hugh Munro	1870	1916	writer	tt0075592,tt0147768,tt21200952
nm0613625	Robert Muratore	\N	\N	cinematographer,camera_department,producer	tt1325014,tt2567038,tt4372240,tt10681070
nm0613848	Jane Murfin	1884	1955	writer,producer,script_department	tt0014908,tt0021092,tt0023686,tt0012971
nm0614526	Michael Murphy	\N	\N	actor	tt0079522,tt0094562,tt0491747,tt0073440
nm0617036	Henry Mylne	\N	\N	director,writer,actor	tt0375446,tt0128176,tt4173742,tt7795702
nm0617939	Sasia Mølgaard	1986	\N	actress,miscellaneous	tt0130907,tt0172206,tt1566217,tt3305316
nm0618258	Mike Müller	1963	\N	actor,transportation_department,writer	tt0865950,tt0311081,tt0480558,tt2265544
nm0622652	Katharina Naumow	1966	\N	actress,director,writer	tt0455520,tt14272182,tt12615984,tt0280289
nm0622951	Manuel Navarro	1960	\N	actor,costume_department	tt1275297,tt0297174,tt0211842,tt1773176
nm0623021	Silvia Navarro	1978	\N	actress	tt1684928,tt1316004,tt1688210,tt0830376
nm0623109	Patricia Navidad	1973	\N	actress,soundtrack	tt0373562,tt1266126,tt2206767,tt0296373
nm0625343	Ed Nelson	1928	2014	actor,special_effects,producer	tt0075142,tt0127357,tt0091777,tt0057779
nm0626076	Meri Nenonen	\N	\N	actress,soundtrack	tt14270856,tt0881779,tt1380130,tt1428457
nm0626446	Fernando Nesme	\N	\N	director,actor,assistant_director	tt12404708,tt2046305,tt10954104,tt3220440
nm0627473	Richard Neville	1941	2016	writer,actor	tt0298685,tt0098299,tt1933790,tt1024652
nm0628647	Richard Ney	1916	2004	actor,soundtrack	tt0039504,tt0041856,tt0035093,tt0051312
nm0629363	Charles Nichols	1910	1992	animation_department,director,miscellaneous	tt0084972,tt0043274,tt0032910,tt0032455
nm0630955	Per Nielsen	1957	\N	producer,director,writer	tt13788286,tt10288566,tt1340107,tt0224490
nm0631041	Janelle Ashley Nielson	\N	\N	editor,editorial_department,miscellaneous	tt0261392,tt0363771,tt0265591,tt0114851
nm0634629	Lucien Nonguet	1869	1955	director,writer,assistant_director	tt0459014,tt0459006,tt0458694,tt0127962
nm0635262	Ola Rapace	1971	\N	actor,producer	tt0185112,tt10417726,tt1074638,tt2239822
nm0636354	Deborah Norville	1958	\N	producer,actress,writer	tt0069658,tt0439357,tt0772137,tt13550462
nm0636985	Julieta Novarro	\N	\N	actress	tt0497154,tt0338667,tt0218074,tt0396300
nm0637009	Rosa Novell	1953	2015	actress,director,assistant_director	tt0096900,tt3521332,tt0089499,tt0091805
nm0637420	Justin Nowell	\N	\N	writer,producer,miscellaneous	tt0814067,tt1153701,tt1336979,tt0091080
nm0639496	David O'Brien	1935	1989	actor	tt0073952,tt0056752,tt0209021,tt0061001
nm0641939	Ryan O'Neal	1941	\N	actor,soundtrack,producer	tt0072684,tt0066011,tt0069495,tt0070510
nm0643035	Roger Oakley	1943	\N	actor	tt0088580,tt0087220,tt0094481,tt0108709
nm0643341	Heiko Obermöller	1974	\N	actor,miscellaneous,director	tt3382518,tt3385516,tt3342450,tt4731136
nm0646575	Melani Olivares	1973	\N	actress,writer	tt3825328,tt1077044,tt0440981,tt0231040
nm0650512	Nikos Orfanos	\N	\N	actor	tt0344702,tt5336902,tt1708523,tt0224454
nm0657131	József Pakots	1877	1933	writer,actor	tt0241614,tt0008176,tt0008952,tt0240660
nm0657589	Dominika Paleta	1972	\N	actress	tt1743281,tt1244313,tt1316004,tt0266177
nm0658482	Tony Palmer	1941	\N	director,editor,producer	tt0096250,tt0159876,tt0097073,tt0085107
nm0660374	Shawn Papazian	\N	\N	producer,director,assistant_director	tt6967012,tt2081252,tt20226480,tt5676220
nm0660654	Alex Papps	1969	\N	actor,writer,miscellaneous	tt2180697,tt0108709,tt0094481,tt0088519
nm0660854	Vanessa Paradis	1972	\N	actress,soundtrack,composer	tt6426028,tt1465487,tt0144201,tt0097995
nm0661678	Diane Parish	1969	\N	actress,soundtrack	tt0088512,tt0116631,tt0315649,tt0084987
nm0661911	Nicola Park	1972	\N	actress	tt0155423,tt3181614,tt0129709,tt0388578
nm0662858	Michael Parkinson	1935	\N	producer,actor,director	tt1226271,tt0200659,tt0168358,tt0314331
nm0666871	Jarrad Paul	\N	\N	actor,writer,producer	tt4481322,tt1068680
nm0670239	John Peel	1939	2004	actor,miscellaneous,writer	tt0065296,tt0086826,tt0205936,tt0216279
nm0675124	Jim Perry	1933	2015	actor	tt0080817,tt0204766,tt0127991,tt0198224
nm0675471	Orival Pessini	1944	2016	writer,actor	tt1785763,tt0241455,tt0191169,tt0254804
nm0677458	Ivan Mathias Petersson	1971	\N	actor,assistant_director,writer	tt4383196,tt3342990,tt4716466,tt4815672
nm0685277	Parsa Pirouzfar	1972	\N	actor	tt1757050,tt11281220,tt0773747,tt0405149
nm0685742	John Pitman	1940	2018	producer,director,miscellaneous	tt9796134,tt0429290,tt3476524,tt1722505
nm0686022	Ron Pitts	1962	\N	actor	tt0107144,tt0115685,tt0116277,tt0116629
nm0692108	Eleanor H. Porter	1868	1920	writer	tt0043873,tt0010054,tt0054195,tt0011588
nm0692872	Ted Post	1918	2013	director,writer,actor	tt0070355,tt0046660,tt0061747,tt0065462
nm0694907	Jakub Prachar	1983	\N	actor,soundtrack,writer	tt8970388,tt0479117,tt4483192,tt9100132
nm0695412	Ursula Prats	\N	\N	actress	tt1445556,tt0353588,tt1285297,tt0321048
nm0695643	Jim Praytor	\N	\N	producer,writer,editorial_department	tt0284718,tt0281445,tt0169247,tt0101120
nm0696489	Scott Preston	\N	\N	director,assistant_director,cinematographer	tt0120992,tt0827947,tt0357399,tt0115147
nm0697676	Jonathan Prince	1958	\N	producer,writer,actor	tt7587362,tt8319428,tt0319930,tt1103973
nm0698097	James Pritchett	1922	2011	actor,soundtrack	tt0056752,tt0176357,tt0202179,tt0087799
nm0698429	Alejandra Procuna	1969	\N	actress	tt0211827,tt5373374,tt1630269,tt12572134
nm0698807	Nicholas Prosser	\N	\N	producer,director,miscellaneous	tt0088512,tt0133301,tt0083392,tt0068069
nm0700875	Om Puri	1950	2017	actor,miscellaneous,music_department	tt0111742,tt0166175,tt0116409,tt2980648
nm0702732	Federico S. Quadrani	\N	\N	producer,writer,miscellaneous	tt0044298,tt0181418,tt0181900,tt9894116
nm0703782	Carmel Quinn	1925	2021		tt0254906,tt1176750,tt11802696,tt0041002
nm0704492	John Quiñones	1952	\N	writer,producer	tt0316161,tt0403832,tt3190250,tt0096680
nm0707951	Bhanumathi Ramakrishna	1925	2005	actress,music_department,director	tt0259607,tt0259245,tt0259392,tt0260791
nm0709907	John Randolph	1915	2004	actor,soundtrack	tt0067065,tt0077663,tt0128853,tt0070666
nm0710587	P.S. Ramakrishna Rao	1918	1986	director,producer,writer	tt0259339,tt0263529,tt0259724,tt0259392
nm0711940	Eilon Ratzkovsky	\N	\N	producer,assistant_director	tt5466186,tt1814346,tt10569810,tt1032856
nm0713217	Camille Raymond	1976	\N	actress	tt0196288,tt2343553,tt0171978,tt0172040
nm0715087	Phil Redmond	1949	\N	writer,producer,miscellaneous	tt0484803,tt0083392,tt0112004,tt16961252
nm0718593	Jörg Reiter	1952	\N	writer,composer	tt0457220,tt0295788,tt0108977,tt0280289
nm0720168	Richard Rericha	1964	\N	cinematographer,camera_department,director	tt0219288,tt1934241,tt0396171,tt0494231
nm0722091	Rahman Rezaei	\N	\N	director,writer,producer	tt24328600,tt3350994,tt7686670,tt0090854
nm0727235	David Rimawi	\N	\N	producer,actor,writer	tt8923854,tt2724064,tt11439610,tt3843168
nm0731557	S. Andrew Roberts	\N	\N	editor,visual_effects,miscellaneous	tt0135910,tt0138488,tt0152527,tt0136028
nm0733791	Glauce Rocha	1930	1971	actress,producer	tt0201898,tt0337937,tt0344508,tt0262036
nm0734570	Inés Rodena	1905	1985	writer	tt0361157,tt0261486,tt4003318,tt6826244
nm0734714	Ilona Rodgers	1942	\N	actress	tt0423697,tt0129713,tt0054518,tt5745220
nm0735349	J.R. Rodriguez	\N	\N	actor,producer,director	tt3835734,tt8762206,tt14761534,tt0406038
nm0737963	Al Roker	1954	\N	producer,actor,writer	tt1985966,tt0844471,tt0358082,tt1053810
nm0739351	Carlos Romero	1946	\N	writer	tt0358874,tt0261486,tt0243054,tt0215388
nm0739360	Chanda Romero	\N	\N	actress	tt0186265,tt0301061,tt0421565,tt0345106
nm0740485	Theodore Roosevelt	1858	1919	writer,producer	tt0258155,tt4953546,tt0008787,tt6103562
nm0745828	Daniel Rous	1961	\N	actor	tt0142032,tt0183790,tt3127306,tt0924182
nm0747155	Reena Roy	1957	\N	actress,producer	tt0267252,tt0246433,tt0178204,tt0074949
nm0747689	Chito S. Roño	\N	\N	director,writer,miscellaneous	tt0185910,tt1663336,tt8856040,tt0325233
nm0749622	Manuel Ruiz Esparza	\N	\N	cinematographer,director,camera_department	tt0218764,tt0224889,tt0216516,tt0211780
nm0749799	Janet Ruiz	\N	\N	actress	tt0211815,tt1316004,tt0254551,tt1630269
nm0751369	Nipsey Russell	1918	2005	actor,soundtrack,writer	tt0107863,tt0092214,tt0078504,tt0065276
nm0752449	Bruce Ryan	\N	\N	production_designer,art_director,art_department	tt0319971,tt0346222,tt0186336,tt0199554
nm0752757	Natasha Ryan	1970	\N	actress	tt0078767,tt0082334,tt0058796,tt0080238
nm0753218	Andrew Rye	1978	\N	writer,miscellaneous,producer	tt0139774,tt1233538,tt0214341,tt1415054
nm0753620	Harri Räty	\N	\N	cinematographer,camera_department,producer	tt0117540,tt0343624,tt0890883,tt0359834
nm0754759	Carolina Sabino	1977	\N	actress,music_department	tt0223584,tt0404631,tt0314533,tt0216479
nm0755239	Detlev Sackenheim	\N	\N	cinematographer,camera_department	tt0289643,tt0479780,tt0092188,tt0108979
nm0755267	Katee Sackhoff	1980	\N	actress,producer,writer	tt0407362,tt1411250,tt0220506,tt2388715
nm0756145	Shirô Sagisu	1957	\N	composer,music_department,soundtrack	tt9018612,tt4262980,tt0923811,tt0860906
nm0757217	Doug Sakmann	1980	\N	special_effects,actor,producer	tt3039472,tt2659416,tt1270290,tt0486617
nm0758457	Monroe Salisbury	1876	1935	actor,producer	tt0009688,tt0004635,tt0010463,tt0011944
nm0758692	Albert Salmi	1927	1990	actor,soundtrack	tt0067065,tt0051435,tt0082288,tt0080487
nm0761816	Nikki Sanderson	1984	\N	actress	tt0112004,tt0053494,tt0101114,tt0856778
nm0762418	Joe Sandusky	\N	\N	music_department,production_manager,editorial_department	tt0247729,tt0071571,tt0306371,tt0098929
nm0763228	Eduardo Santamarina	1969	\N	actor	tt0211827,tt0970166,tt0220885,tt0368452
nm0764312	Ênio Santos	1922	2002	actor	tt0161203,tt0251503,tt0209734,tt0138274
nm0765314	Samvel Sarkisyan	\N	\N	actor	tt0470858,tt2091387,tt5692406,tt4726166
nm0768459	Tom Sayer	\N	\N	production_designer,art_director,art_department	tt11846996,tt12759778,tt8019518,tt1439572
nm0773936	Mario Schneider	\N	\N	composer,producer,director	tt1165287,tt1442218,tt0800065,tt2197636
nm0774542	Phillip Schofield	1962	\N	actor,producer,soundtrack	tt1462032,tt0445114,tt2147365,tt0068069
nm0774634	Gijs Scholten van Aschat	1959	\N	actor,soundtrack,writer	tt5464234,tt0144726,tt0375662,tt1418760
nm0774782	Manfred Schoof	1936	\N	composer	tt0067865,tt0095393,tt0093469,tt0087484
nm0776239	Dwight Schultz	1947	\N	actor,music_department,soundtrack	tt3382518,tt0117731,tt0216651,tt0429493
nm0777498	Louie Schwartzberg	\N	\N	visual_effects,director,producer	tt6953912,tt0381006,tt2896898,tt1222816
nm0778285	Thomas Schühly	1951	\N	producer,assistant_director,actor	tt0346491,tt4187618,tt0091605,tt0096764
nm0778656	Fred J. Scollay	1923	2015	actor	tt0071402,tt0098844,tt0100680,tt0056752
nm0779923	Zachary Scott	1914	1965	actor,soundtrack	tt0037632,tt0037913,tt0038107,tt0041373
nm0781238	Amy Sedaris	1961	\N	actress,writer,producer	tt0448694,tt0319343,tt0194624,tt1131734
nm0785479	Eduardo Serrano	1942	\N	actor	tt0398446,tt2264640,tt0344484,tt10537944
nm0785725	Juan Carlos Serrán	1954	2016	actor,assistant_director	tt1630269,tt0211802,tt1723627,tt0888077
nm0786341	Doc Severinsen	1927	\N	music_department,soundtrack,actor	tt0083399,tt0103466,tt0083064,tt0056293
nm0786452	Jennifer Sevilla	1974	\N	actress	tt0214825,tt1360792,tt0125415,tt0170104
nm0786577	George Sewell	1924	2007	actor,miscellaneous	tt0072684,tt0080297,tt0063962,tt0067128
nm0787024	Sha-Na-Na	\N	\N	soundtrack,actor,music_department	tt8416494,tt0077631,tt0078239,tt1640459
nm0788803	Amber Woods	1972	\N	actress	tt0134961,tt0134620,tt0134960,tt0151861
nm0789634	Bruce Shaw	\N	\N	editor,editorial_department,sound_department	tt2891456,tt0098769,tt0094416,tt0974428
nm0790415	Alan Shearer	1970	\N	actor	tt9860660,tt0380389,tt0246875,tt1961698
nm0791027	James Sheldon	1920	2016	director,writer,producer	tt0042141,tt0052520,tt0059968,tt0088513
nm0791792	Jack P. Shepherd	1988	\N	actor,talent_agent	tt2215424,tt0492430,tt0053494,tt4584776
nm0791868	Sherri Shepherd	1967	\N	actress,producer,soundtrack	tt0320052,tt0496424,tt0929632,tt1598828
nm0792847	Roberta Sherwood	1913	1999	soundtrack,actress	tt0046637,tt0305844,tt0056956,tt0077031
nm0800043	Simon Hickson	1962	\N	writer,actor	tt6249336,tt2831486,tt4383682,tt5073676
nm0801901	Bob Singer	1928	\N	art_department,animation_department,production_designer	tt0069641,tt0070016,tt0060026,tt0057730
nm0805757	Maureen Sless	1957	2019	production_designer,art_director,set_decorator	tt0109529,tt0135110,tt0107179,tt0113810
nm0808471	Hope Harmel Smith	\N	\N	producer,miscellaneous,writer	tt0056758,tt0092325,tt0065272,tt0118435
nm0808801	John F. Smith	\N	\N	writer,producer,miscellaneous	tt0069658,tt0092325
nm0808850	Julia Smith	1927	1997	writer,producer,director	tt0135088,tt0073958,tt0056751,tt0088512
nm0809991	Sonya Smith	1972	\N	actress	tt1042979,tt0261488,tt0859760,tt5376316
nm0812954	Juan Soler	1966	\N	actor	tt0368472,tt1688210,tt0212646,tt1197892
nm0813098	Charito Solis	1935	1998	actress	tt0354579,tt0221322,tt0225968,tt0356578
nm0815713	Alain Souchon	1944	\N	soundtrack,actor,composer	tt0086655,tt6095616,tt0119828,tt0080951
nm0816828	Gabriela Spanic	1973	\N	actress,music_department,soundtrack	tt0261486,tt0261847,tt0222616,tt1630269
nm0819782	Rick Springfield	1949	\N	actor,soundtrack,composer	tt1231587,tt0141606,tt0118749,tt0904208
nm0820270	Sriranjani	1927	1974	actress	tt0247209,tt0246232,tt0293448,tt0265799
nm0821305	Jon Stafford	\N	\N	actor	tt0093058,tt0097129,tt1586265,tt2726560
nm0821674	Bill Stalker	\N	1981	actor	tt0155448,tt0224849,tt0357380,tt0082201
nm0823015	Darren Star	1961	\N	writer,producer,miscellaneous	tt0098749,tt0159206,tt3288518,tt8962124
nm0823297	Michael Starke	1957	\N	actor,soundtrack	tt0227984,tt0313122,tt0083392,tt1205537
nm0826320	Víctor Stella	\N	\N	director	tt1065528,tt2359772,tt0414769,tt0220203
nm0827298	Pamela Stephenson	1949	\N	actress,soundtrack,writer	tt0082517,tt0199218,tt0086393,tt0080253
nm0831008	Mark Stoddard	1954	\N	actor,script_department	tt0923811,tt0455275,tt1474276,tt2263944
nm0832889	Rex Stout	1886	1975	writer	tt0025674,tt0027952,tt0081906,tt0283205
nm0835580	Niklas Strömstedt	1958	\N	soundtrack,actor,composer	tt0110835,tt0112258,tt0950739,tt0837106
nm0836809	Adrián Suar	1968	\N	producer,writer,actor	tt0456246,tt0204110,tt0205706,tt1927327
nm0837282	Paulyn Sun	1974	\N	actress	tt0271946,tt0156588,tt0118694,tt0296042
nm0837377	Alan Sugar	1947	\N	producer,actor	tt0450897,tt0183843,tt0182834,tt0164274
nm0838029	Dean Sullivan	1955	\N	actor,director	tt13058466,tt0758928,tt0083392,tt9307862
nm0838522	Shekhar Suman	1960	\N	actor,writer,music_department	tt5525892,tt0331216,tt3334348,tt0100816
nm0839389	John Sununu	1939	\N	actor	tt0112228,tt0140732,tt1084172,tt1240986
nm0839741	Shaleen Surtie-Richards	1955	2021	actress	tt0128176,tt2211258,tt4786108,tt0144200
nm0839917	Sally Sussman Morina	\N	\N	writer,producer,miscellaneous	tt3511510,tt0058796,tt0069658,tt0096593
nm0840836	Silvia Suárez	\N	\N	actress	tt0212646,tt0257470,tt1018843,tt0051968
nm0842104	Claire Sweeney	1971	\N	actress,soundtrack	tt0083392,tt0243183,tt0053494,tt1574645
nm0842122	Jack Sweeney	1888	1950	actor	tt0313093
nm0844633	Fausto Sáinz	\N	\N	producer,production_manager,actor	tt27419542,tt11166096,tt1705090,tt0211892
nm0845806	Raju T.V.	1921	1973	composer,music_department,actor	tt0261994,tt7845614,tt0259576,tt0256632
nm0845830	Kimmo Taavila	1965	\N	editor,actor,director	tt1401143,tt0102536,tt0372594,tt0479959
nm0846330	Manuel Tadros	1956	\N	actor,soundtrack,miscellaneous	tt0294357,tt3385516,tt1201133,tt13521006
nm0848275	Myfanwy Talog	1944	1995	actress,music_department	tt0115591,tt0086753,tt0159226,tt0081838
nm0849219	Steven Tandy	1952	\N	actor,writer	tt1329354,tt0075281,tt0495020,tt1060255
nm0851093	Yevgeni Tatarsky	1938	2015	director,assistant_director,writer	tt0167910,tt0192936,tt0312316,tt0095899
nm0858900	Gérard Thomas	\N	\N	director,actor,camera_department	tt0167524,tt12451304,tt3757760,tt0167523
nm0861307	Kaylyn Thornal	\N	\N	editor,producer,editorial_department	tt0807957,tt1539993,tt1200227,tt0360461
nm0863699	Jeff Timmons	1973	\N	actor,producer,soundtrack	tt0184907,tt5913106,tt15385868,tt13684314
nm0864436	Alan Titchmarsh	1949	\N	writer,actor	tt0214301,tt5589982,tt0213345,tt0839761
nm0866870	Ricky Tomlinson	1939	\N	actor,soundtrack,writer	tt0129711,tt3381008,tt0227984,tt0282744
nm0868386	José María Torre	1977	\N	actor,producer,soundtrack	tt0297620,tt0211827,tt1955044,tt1392888
nm0869721	Sheila Tousey	1960	\N	actress,producer	tt0312278,tt0129332,tt0105585,tt0309150
nm0871353	Nilton Travesso	1934	\N	director,producer,writer	tt0142045,tt0209644,tt0205617,tt0142057
nm0871436	Sean Travis	\N	\N	producer,writer,director	tt0176318,tt1346006,tt1972246,tt0346292
nm0873950	Claudia Troyo	1977	\N	actress	tt0211832,tt1018843,tt0211869,tt0759222
nm0874339	Donald Trump	1946	\N	producer,actor,soundtrack	tt0313737,tt0364782,tt0196229,tt0104431
nm0876942	Charlotte de Turckheim	1955	\N	actress,writer,director	tt4161632,tt0194704,tt0085477,tt0486084
nm0879322	Eitan Zur	\N	\N	director,miscellaneous,writer	tt26422265,tt9435024,tt0288346,tt17074098
nm0881146	Bisse Unger	1994	\N	actor	tt1392307,tt0292647,tt1846197,tt0837106
nm0884977	Carmen Vallejos	1922	2013	actress,writer	tt0224998,tt0343307,tt0184986,tt0410973
nm0884979	Enrique Juan Vallejo	1882	1950	cinematographer,director,camera_department	tt0013674,tt0012719,tt0009682,tt0219181
nm0885433	Vladimir Valutskiy	1936	2015	writer,actor	tt2321517,tt0111128,tt0095456,tt1101026
nm0885818	Mabel Van Buren	1878	1947	actress	tt0014198,tt0007248,tt0003698,tt0014836
nm0885826	Lou van Burg	1917	1986	actor,director,writer	tt0132041,tt0297594,tt0063412,tt0088932
nm0887178	Greg Van Horn	\N	\N	camera_department,producer,miscellaneous	tt4655480,tt2805096,tt5640060,tt2261391
nm0887561	Gert van Niekerk	\N	\N	director,actor,casting_director	tt22491458,tt1527854,tt0128176,tt5585642
nm0887696	Joyce Van Patten	1934	\N	actress,producer,soundtrack	tt0068306,tt0822832,tt0095652,tt1375670
nm0887808	Brümilda van Rensburg	1956	\N	actress	tt0093525,tt0128176,tt2739678,tt1527854
nm0888399	Bobby Van	1928	1980	actor,soundtrack,music_department	tt0070337,tt0045479,tt0045963,tt0061592
nm0888441	David Vanacore	\N	\N	music_department,composer,soundtrack	tt0364782,tt0964517,tt0251497,tt0426697
nm0890425	Károly Vass	1896	1953	cinematographer,camera_department,actor	tt0008952,tt0476264,tt0032434,tt0023563
nm0891495	Miroslav Vladyka	1959	\N	actor	tt1369633,tt0183875,tt1814603,tt5459168
nm0892939	Irving Vendig	1902	1995	writer	tt0058839,tt0048860,tt0062571,tt0045446
nm0893147	Relangi Venkatramaiah	1909	1975	actor,music_department,producer	tt0254982,tt0262444,tt0263022,tt0263687
