tconst	ordering	nconst	category	job	characters
tt11424766	1	nm1518349	actress	\N	"[""Nora Roelofse Naude (1992-)""]"
tt11424766	2	nm1944549	actor	\N	"[""Fritz du Plessis""]"
tt11424766	3	nm0839741	actress	\N	"[""Ester (Nenna) Willemse (1992-2000)""]"
tt11424766	4	nm0887808	actress	\N	"[""Louwna Roelofse Vorster Edwards (1992-)""]"
tt11424766	5	nm0617036	director	\N	\N
tt11424766	6	nm0887561	director	\N	\N
tt11424766	7	nm0555609	writer	\N	\N
tt11424766	8	nm1525372	editor	\N	\N
tt11496854	1	nm1339780	self	\N	"[""Self - Presenter""]"
tt11496854	2	nm1614882	self	\N	"[""Self - Presenter""]"
tt11496854	3	nm11736479	self	\N	"[""Self - Presenter""]"
tt11496854	4	nm1615679	self	\N	"[""Self - Presenter""]"
tt11496854	5	nm9589490	self	\N	"[""Self - Presenter""]"
tt11496854	6	nm1095870	self	\N	"[""Self - Reporter""]"
tt11496854	7	nm6734681	self	\N	"[""Self - Newsreader""]"
tt1159848	10	nm1699433	actress	\N	"[""Oya""]"
tt1159848	1	nm1001195	actor	\N	"[""Oguz Karaman""]"
tt1159848	2	nm0043720	actress	\N	"[""Eda Aydeniz""]"
tt1159848	3	nm1727210	actor	\N	"[""Ferit Pamukcuoglu""]"
tt1159848	4	nm0015145	actor	\N	"[""Bakkal Numan""]"
tt1159848	5	nm6393163	producer	producer	\N
tt1159848	6	nm1135536	editor	\N	\N
tt1159848	7	nm1759701	actor	\N	"[""Yaman Soydan""]"
tt1159848	8	nm1904878	actress	\N	"[""Damla Karaman""]"
tt1159848	9	nm1760702	actress	\N	"[""Merve Karaman""]"
tt11639570	10	nm0955604	actor	\N	\N
tt11639570	1	nm1149188	actor	\N	\N
tt11639570	2	nm0917688	actor	\N	\N
tt11639570	3	nm0910728	actor	\N	\N
tt11639570	4	nm3550725	actress	\N	\N
tt11639570	5	nm0955405	director	\N	\N
tt11639570	6	nm11286159	writer	\N	\N
tt11639570	7	nm1148486	cinematographer	\N	\N
tt11639570	8	nm11286160	cinematographer	\N	\N
tt11639570	9	nm1361251	actor	\N	\N
tt11639640	1	nm1337254	self	\N	"[""Self - Segment Presenter""]"
tt11639640	2	nm9567219	self	\N	"[""Self - Sports Anchor""]"
tt11639640	3	nm11274729	self	\N	"[""Self - Business Anchor""]"
tt11639640	4	nm11274714	self	\N	"[""Self - News Anchor""]"
tt11639640	5	nm11274352	producer	producer	\N
tt11639640	6	nm8402523	self	\N	"[""Self - Interviewee""]"
tt11659788	1	nm8779797	actress	\N	\N
tt11659788	2	nm5401097	actor	\N	\N
tt11659788	3	nm5203198	director	\N	\N
tt11659788	4	nm10988399	writer	staff writer	\N
tt11659788	5	nm5203048	editor	\N	\N
tt11677236	10	nm11272896	cinematographer	\N	\N
tt11677236	1	nm9846854	actress	\N	\N
tt11677236	2	nm4582059	actor	\N	\N
tt11677236	3	nm4119465	actress	\N	\N
tt11677236	4	nm5425343	actor	\N	\N
tt11677236	5	nm11272893	director	\N	\N
tt11677236	6	nm0464699	writer	\N	\N
tt11677236	7	nm11272894	writer	\N	\N
tt11677236	8	nm11272895	producer	producer	\N
tt11677236	9	nm11272897	cinematographer	\N	\N
tt11707264	1	nm8099670	actor	\N	\N
tt11707264	2	nm2647644	actress	\N	\N
tt11707264	3	nm2848796	director	\N	\N
tt11739106	1	nm2983727	actress	\N	\N
tt11739106	2	nm8963423	actor	\N	\N
tt11739106	3	nm13098589	director	\N	\N
tt11739106	4	nm8701255	director	\N	\N
tt11739106	5	nm1568626	writer	\N	\N
tt11739106	6	nm1001181	producer	producer	\N
tt11739106	7	nm10792404	editor	\N	\N
tt11886366	1	nm11280108	self	\N	"[""Self - Reporter""]"
tt11886366	2	nm9567219	self	\N	"[""Self - Sports Anchor""]"
tt11886366	3	nm11274729	self	\N	"[""Self - Business Anchor""]"
tt11886366	4	nm11274352	self	\N	"[""Self - News Anchor""]"
tt11886366	5	nm1337254	producer	producer	\N
tt11886366	6	nm11389645	self	\N	"[""Self - Interviewee""]"
tt11886366	7	nm4283704	self	\N	"[""Self - Reporter""]"
tt11886366	8	nm11389644	self	\N	"[""Self - Interviewee""]"
tt11943710	10	nm8603383	cinematographer	\N	\N
tt11943710	1	nm0368333	actor	\N	"[""Datuk Mansor""]"
tt11943710	2	nm0951133	actress	\N	"[""Yasmin"",""Zulaika""]"
tt11943710	3	nm0451802	actress	\N	"[""Gina Teh""]"
tt11943710	4	nm0044293	actress	\N	"[""Mariam""]"
tt11943710	5	nm0436435	director	\N	\N
tt11943710	6	nm2523150	writer	\N	\N
tt11943710	7	nm0944727	writer	writer	\N
tt11943710	8	nm0020039	producer	producer	\N
tt11943710	9	nm9677069	composer	\N	\N
tt11963314	1	nm4489288	self	\N	"[""Self""]"
tt11963314	2	nm5502588	self	\N	"[""Self""]"
tt11963314	3	nm6456058	self	\N	"[""Self""]"
tt11963314	4	nm10508160	self	\N	"[""Self""]"
tt11963314	5	nm7098956	self	\N	"[""Self""]"
tt11963314	6	nm9906191	self	\N	"[""Self""]"
tt11963314	7	nm9910648	self	\N	"[""Self""]"
tt11965442	1	nm1117706	actor	\N	\N
tt11965442	2	nm10303853	actor	\N	\N
tt11965442	3	nm10681482	actress	\N	\N
tt11965442	4	nm13018085	actress	\N	\N
tt11965442	5	nm10089639	director	\N	\N
tt11965442	6	nm11336563	editor	\N	\N
tt11965442	7	nm8025272	actor	\N	\N
tt12081006	1	nm2751803	actress	\N	"[""Gail October""]"
tt12081006	2	nm0058831	actor	\N	"[""David Genaro""]"
tt12081006	3	nm0419562	actress	\N	"[""Tina""]"
tt12081006	4	nm0608718	actress	\N	"[""Maria Pathudi""]"
tt12081006	5	nm10828789	director	\N	\N
tt12081006	6	nm2345184	writer	created by	\N
tt12081006	7	nm1791933	writer	created by	\N
tt12081006	8	nm2000028	composer	\N	\N
tt12178152	10	nm6887026	editor	\N	\N
tt12178152	1	nm4328833	actor	\N	"[""Keyhan""]"
tt12178152	2	nm10114148	actress	\N	"[""Saba""]"
tt12178152	3	nm11512916	actor	\N	"[""Hamid""]"
tt12178152	4	nm9128293	actress	\N	"[""Haleh""]"
tt12178152	5	nm11512915	director	\N	\N
tt12178152	6	nm11512917	writer	\N	\N
tt12178152	7	nm11512918	producer	producer	\N
tt12178152	8	nm1487105	composer	\N	\N
tt12178152	9	nm5222639	cinematographer	\N	\N
tt12191370	1	nm10527015	actress	\N	\N
tt12191370	2	nm8808411	actor	\N	\N
tt12191370	3	nm10608971	director	\N	\N
tt12191370	4	nm7370686	writer	\N	\N
tt12217444	10	nm7164391	actress	\N	"[""Caillou""]"
tt12217444	1	nm7723029	actress	\N	"[""Sarah"",""River"",""Friendly Alien""]"
tt12217444	2	nm2431098	actress	\N	"[""Mommy"",""Narrator""]"
tt12217444	3	nm2744082	actress	\N	"[""Narrator"",""Mommy""]"
tt12217444	4	nm11541373	actress	\N	"[""Mommy""]"
tt12217444	5	nm6773120	director	\N	\N
tt12217444	6	nm7385619	composer	\N	\N
tt12217444	7	nm3723019	actress	\N	"[""Mommy (French)""]"
tt12217444	8	nm5943997	actress	\N	"[""Caillou"",""Leo""]"
tt12217444	9	nm5180004	actress	\N	"[""Narrator""]"
tt12265714	1	nm5545519	actress	\N	\N
tt12265714	2	nm0100189	director	general director	\N
tt12265714	3	nm3235332	writer	adaptation	\N
tt12265714	4	nm0692108	writer	novel	\N
tt1227462	10	nm0150329	producer	producer	\N
tt1227462	1	nm0540416	actress	\N	"[""Constance Mackenzie Carson""]"
tt1227462	2	nm0625343	actor	\N	"[""Michael Rossi""]"
tt1227462	3	nm0001201	actress	\N	"[""Allison Mackenzie""]"
tt1227462	4	nm0641939	actor	\N	"[""Rodney Harrington""]"
tt1227462	5	nm0692872	director	\N	\N
tt1227462	6	nm0582374	writer	based on the novel by	\N
tt1227462	7	nm0597574	writer	series adapted for television	\N
tt1227462	8	nm0322327	writer	written by	\N
tt1227462	9	nm0482251	writer	written by	\N
tt12310892	1	nm2897914	self	\N	"[""Self - Judge""]"
tt12310892	2	nm6622816	self	\N	"[""Self - Judge""]"
tt12310892	3	nm6622815	self	\N	"[""Self - Judge""]"
tt12310892	4	nm3813843	director	\N	\N
tt12310892	5	nm0005419	writer	creator	\N
tt12322016	10	nm3605018	cinematographer	director of photography	\N
tt12322016	1	nm7550132	actress	\N	"[""Ganga"",""Nandhini (2017)""]"
tt12322016	2	nm1171296	director	\N	\N
tt12322016	3	nm5237351	writer	dialogue	\N
tt12322016	4	nm1326535	writer	story	\N
tt12322016	5	nm8928211	writer	dialogue	\N
tt12322016	6	nm7017265	writer	screenplay	\N
tt12322016	7	nm1001243	producer	producer	\N
tt12322016	8	nm5657066	composer	main title composer	\N
tt12322016	9	nm1894813	composer	\N	\N
tt12363638	1	nm0144469	actress	\N	\N
tt12363638	2	nm0195469	actor	\N	\N
tt12363638	3	nm2090900	actor	\N	\N
tt12363638	4	nm11607288	actress	\N	\N
tt12363638	5	nm1056269	actor	\N	\N
tt12402576	1	nm11615049	self	\N	"[""Self""]"
tt12402576	2	nm1053676	director	\N	\N
tt12402576	3	nm1267023	director	\N	\N
tt12402576	4	nm0316172	cinematographer	\N	\N
tt12402576	5	nm0994265	editor	\N	\N
tt12402576	6	nm9146257	editor	\N	\N
tt12402576	7	nm11614623	production_designer	\N	\N
tt12445592	1	nm7702126	actor	\N	"[""Damon""]"
tt12445592	2	nm4331938	actress	\N	"[""Sarah""]"
tt12445592	3	nm11463896	director	\N	\N
tt12466812	1	nm11626332	self	\N	"[""Self""]"
tt12478124	1	nm0552445	self	\N	"[""Self - Host""]"
tt12478124	2	nm0152959	self	\N	"[""Self""]"
tt12478124	3	nm1381352	self	\N	"[""Self - Conductor""]"
tt12478124	4	nm0815713	self	\N	"[""Self""]"
tt12478124	5	nm0858900	director	\N	\N
tt12504094	1	nm0088705	director	\N	\N
tt12504094	2	nm6407951	director	\N	\N
tt12504094	3	nm2956361	director	\N	\N
tt12504094	4	nm1084729	writer	\N	\N
tt12504094	5	nm0695643	writer	\N	\N
tt12504094	6	nm0002526	writer	\N	\N
tt12504094	7	nm11775744	editor	\N	\N
tt12504094	8	nm11657462	editor	\N	\N
tt12574400	1	nm8776528	actress	\N	"[""Malice Esme""]"
tt12574400	2	nm8462809	actress	\N	"[""Lilliana Isabella""]"
tt12574400	3	nm11627741	director	\N	\N
tt12574400	4	nm7385619	composer	\N	\N
tt1263355	10	nm0005323	self	\N	"[""Self - Panelist""]"
tt1263355	1	nm0074477	self	\N	"[""Self - Host""]"
tt1263355	2	nm0004888	self	\N	"[""Self - Panelist""]"
tt1263355	3	nm0000155	self	\N	"[""Self - Center Square""]"
tt1263355	4	nm0001281	self	\N	"[""Self - Panelist""]"
tt1263355	5	nm1238470	writer	writer	\N
tt1263355	6	nm0752449	production_designer	\N	\N
tt1263355	7	nm0005175	self	\N	"[""Self - Panelist""]"
tt1263355	8	nm0000555	self	\N	"[""Self - Panelist""]"
tt1263355	9	nm0636354	self	\N	"[""Self - Panelist""]"
tt12673092	1	nm0534779	self	\N	"[""Self - Presenter""]"
tt12673092	2	nm0278306	self	\N	"[""Self - Presenter""]"
tt12683816	1	nm0337118	self	\N	"[""Self - Host""]"
tt12683816	2	nm0972588	self	\N	"[""Self - Co-Host""]"
tt12683816	3	nm0413921	director	\N	\N
tt12683816	4	nm0101689	producer	producer	\N
tt12683816	5	nm0184387	production_designer	\N	\N
tt1268560	1	nm1788624	director	\N	\N
tt1268560	2	nm2363615	director	\N	\N
tt1272507	1	nm1168761	actor	\N	"[""Sgt. Brian Mills""]"
tt1272507	2	nm3092793	actor	\N	"[""Specialist Adam Ford""]"
tt1272507	3	nm2861545	actress	\N	"[""Sara Ford""]"
tt1272507	4	nm1821609	actor	\N	"[""Robert Burroughs""]"
tt1272507	5	nm3078322	director	\N	\N
tt1272507	6	nm1645722	cinematographer	\N	\N
tt12726622	1	nm0000155	self	\N	"[""Self - Co-Host""]"
tt12726622	2	nm0066877	self	\N	"[""Self - Co-Host""]"
tt12726622	3	nm2641639	self	\N	"[""Self - Co-Host""]"
tt12726622	4	nm3045633	self	\N	"[""Self - Co-Host""]"
tt12726622	5	nm0005004	self	\N	"[""Self""]"
tt12726622	6	nm0704492	self	\N	"[""Self""]"
tt12737406	1	nm0045324	actor	\N	"[""Tom""]"
tt12737406	2	nm0004126	actor	\N	"[""Alan Hearte""]"
tt12737406	3	nm0734714	actress	\N	"[""Vivian""]"
tt12737406	4	nm0821674	actor	\N	"[""Alan""]"
tt12737406	5	nm0421242	director	\N	\N
tt12737406	6	nm2148355	director	\N	\N
tt12737406	7	nm0008623	writer	\N	\N
tt12737406	8	nm3113152	writer	\N	\N
tt12737406	9	nm0411530	producer	producer	\N
tt12766978	10	nm11903861	actor	\N	"[""Mr. Johnson""]"
tt12766978	1	nm2515338	actor	\N	"[""Lucas""]"
tt12766978	2	nm0170648	actress	\N	"[""Zombie""]"
tt12766978	3	nm1006323	actor	\N	"[""Reporter""]"
tt12766978	4	nm0245223	actress	\N	"[""Mrs. Peabody""]"
tt12766978	5	nm2677190	director	\N	\N
tt12766978	6	nm11903879	actor	\N	"[""Deputy Buford""]"
tt12766978	7	nm2960761	actor	\N	"[""Reporter""]"
tt12766978	8	nm10619351	actor	\N	"[""Rick""]"
tt12766978	9	nm11800821	actress	\N	"[""Reporter""]"
tt12772200	10	nm11479500	producer	producer	\N
tt12772200	1	nm9029409	actor	\N	\N
tt12772200	2	nm11479488	actress	\N	\N
tt12772200	3	nm11479493	actress	\N	\N
tt12772200	4	nm10044693	actor	\N	\N
tt12772200	5	nm11479487	director	\N	\N
tt12772200	6	nm13244359	writer	screenplay	\N
tt12772200	7	nm11479498	writer	\N	\N
tt12772200	8	nm11479501	producer	producer	\N
tt12772200	9	nm11479499	producer	producer	\N
tt12836378	1	nm1644704	director	\N	\N
tt12836378	2	nm0087610	cinematographer	\N	\N
tt12836378	3	nm2897815	editor	\N	\N
tt12836378	4	nm1656767	editor	\N	\N
tt12857332	1	nm0238478	self	\N	"[""Self - Host""]"
tt12857332	2	nm0660854	self	\N	"[""Self""]"
tt12860804	1	nm11800708	actress	\N	\N
tt12901746	1	nm2013463	self	\N	"[""Self - Host""]"
tt12901746	2	nm1154632	composer	\N	\N
tt12939618	10	nm10429955	producer	producer	\N
tt12939618	1	nm5611699	actor	\N	"[""Dev""]"
tt12939618	2	nm5893456	actress	\N	"[""Pavithira""]"
tt12939618	3	nm11809195	director	\N	\N
tt12939618	4	nm11553606	writer	\N	\N
tt12939618	5	nm11809197	writer	\N	\N
tt12939618	6	nm11512577	writer	\N	\N
tt12939618	7	nm11809198	writer	\N	\N
tt12939618	8	nm11809196	writer	\N	\N
tt12939618	9	nm11809200	producer	producer	\N
tt13007552	1	nm0864436	self	\N	"[""Self - Host""]"
tt13007552	2	nm1538571	director	\N	\N
tt13007552	3	nm7647068	producer	producer	\N
tt13053200	10	nm11065711	editor	\N	\N
tt13053200	1	nm0609706	actor	\N	\N
tt13053200	2	nm4830512	actress	\N	\N
tt13053200	3	nm1119913	actress	\N	\N
tt13053200	4	nm5030928	director	\N	\N
tt13053200	5	nm11517588	writer	\N	\N
tt13053200	6	nm11517589	producer	producer	\N
tt13053200	7	nm11517590	producer	producer	\N
tt13053200	8	nm11517591	cinematographer	\N	\N
tt13053200	9	nm11517592	editor	\N	\N
tt13057676	1	nm0477499	actor	\N	\N
tt13057676	2	nm0650512	actor	\N	\N
tt13057676	3	nm1106456	actor	\N	\N
tt13057676	4	nm1073763	actress	\N	\N
tt13079334	1	nm3081483	director	\N	\N
tt13127282	10	nm11512448	cinematographer	\N	\N
tt13127282	1	nm11553557	actress	\N	\N
tt13127282	2	nm1521220	actor	\N	\N
tt13127282	3	nm11871322	actress	\N	\N
tt13127282	4	nm11512436	actress	\N	\N
tt13127282	5	nm11512435	director	\N	\N
tt13127282	6	nm11512443	writer	\N	\N
tt13127282	7	nm11512446	cinematographer	\N	\N
tt13127282	8	nm11512447	cinematographer	\N	\N
tt13127282	9	nm11512445	cinematographer	\N	\N
tt13130856	1	nm0460020	self	\N	"[""Self - Host""]"
tt13130856	2	nm1801493	producer	producer	\N
tt13144006	1	nm5948798	actress	\N	"[""Amy""]"
tt13144006	2	nm5111177	actress	\N	"[""Olive""]"
tt13144006	3	nm5306052	director	\N	\N
tt13144006	4	nm5596932	producer	producer	\N
tt13144006	5	nm5193273	cinematographer	\N	\N
tt13144006	6	nm6270925	editor	\N	\N
tt1314887	10	nm1349864	writer	story	\N
tt1314887	1	nm2156569	actor	\N	"[""Chowder""]"
tt1314887	2	nm0776239	actor	\N	"[""Mung Daal"",""Parking Enforcement"",""Pigeon""]"
tt1314887	3	nm0152839	actress	\N	"[""Truffles"",""Sun"",""Moon""]"
tt1314887	4	nm0224007	actor	\N	"[""Shnitzel"",""Clock Keeper"",""Sleep Eater""]"
tt1314887	5	nm0396317	director	\N	\N
tt1314887	6	nm1148951	writer	creator	\N
tt1314887	7	nm1938069	writer	story	\N
tt1314887	8	nm0607472	writer	story	\N
tt1314887	9	nm2911171	writer	story	\N
tt13178744	1	nm9762344	actor	\N	"[""John""]"
tt13178744	2	nm3481935	actress	\N	"[""Sarah""]"
tt13178744	3	nm11288459	director	\N	\N
tt13178744	4	nm10639679	producer	producer	\N
tt13178744	5	nm11502380	cinematographer	\N	\N
tt13230100	10	nm1763657	actor	\N	\N
tt13230100	1	nm0032965	actor	\N	"[""Iggs""]"
tt13230100	2	nm11819259	actor	\N	\N
tt13230100	3	nm1750388	actor	\N	\N
tt13230100	4	nm0171608	actor	\N	\N
tt13230100	5	nm4998230	director	\N	\N
tt13230100	6	nm11915775	composer	\N	\N
tt13230100	7	nm1370567	actor	\N	\N
tt13230100	8	nm3279548	actor	\N	\N
tt13230100	9	nm1560437	actress	\N	\N
tt13261506	1	nm11200518	actor	\N	"[""Sergio""]"
tt13261506	2	nm10488705	actor	\N	"[""Alejandro""]"
tt13288724	10	nm12331992	producer	producer	\N
tt13288724	1	nm12206334	self	\N	"[""Self - Producer""]"
tt13288724	2	nm12331993	producer	producer	\N
tt13288724	3	nm7307937	producer	producer	\N
tt13288724	4	nm10863091	producer	producer	\N
tt13288724	5	nm4296671	producer	producer	\N
tt13288724	6	nm8557018	producer	producer	\N
tt13288724	7	nm8342893	producer	producer	\N
tt13288724	8	nm2474072	producer	producer	\N
tt13288724	9	nm12331994	producer	producer	\N
tt13294950	1	nm0001442	self	\N	"[""Self - Host""]"
tt13388836	1	nm3478107	self	\N	"[""Self""]"
tt13388836	2	nm1019044	self	\N	"[""Self - Host""]"
tt13439668	10	nm1822558	composer	\N	\N
tt13439668	1	nm0050959	actor	\N	"[""The Mandalorian""]"
tt13439668	2	nm0755267	actress	\N	"[""Bo-Katan Kryze""]"
tt13439668	3	nm0781238	actress	\N	"[""Peli Motto""]"
tt13439668	4	nm1228007	actor	\N	"[""The Mandalorian""]"
tt13439668	5	nm1121126	director	\N	\N
tt13439668	6	nm0269463	writer	written by	\N
tt13439668	7	nm0000184	writer	based on STAR WARS by	\N
tt13439668	8	nm2962362	producer	producer	\N
tt13439668	9	nm3234869	composer	\N	\N
tt13479006	1	nm11696544	self	\N	"[""Self - Film Critic""]"
tt13483886	1	nm9313567	self	\N	"[""Self""]"
tt13483886	2	nm3729576	self	\N	"[""Self - Host""]"
tt13483886	3	nm2915334	self	\N	"[""Self""]"
tt13483886	4	nm10021775	self	\N	"[""Self""]"
tt13552014	1	nm0403142	self	\N	"[""Self""]"
tt13552014	2	nm0109604	self	\N	"[""Self""]"
tt13619716	1	nm0214418	self	\N	"[""Self - Host""]"
tt13666130	10	nm7608273	actress	\N	"[""Sam""]"
tt13666130	1	nm8101143	actor	\N	"[""mark"",""Jake""]"
tt13666130	2	nm3704685	actor	\N	"[""Leonard"",""Pestilance""]"
tt13666130	3	nm11015925	actor	\N	"[""Shakespaere quoting inmate""]"
tt13666130	4	nm11566443	actor	\N	"[""Ashley Heston""]"
tt13666130	5	nm6739702	actress	\N	"[""Chloe""]"
tt13666130	6	nm12157166	actress	\N	"[""Cat""]"
tt13666130	7	nm8101151	actress	\N	"[""Monica""]"
tt13666130	8	nm11568124	actor	\N	"[""Paris""]"
tt13666130	9	nm9854753	actress	\N	"[""Original sam skin""]"
tt13692270	1	nm0006752	self	\N	"[""Self - Host""]"
tt13692860	10	nm1134158	cinematographer	director of photography	\N
tt13692860	1	nm0034877	actor	\N	"[""Commander Roke""]"
tt13692860	2	nm3117921	actress	\N	"[""Death Lyra""]"
tt13692860	3	nm1467587	actor	\N	"[""Father Jerome""]"
tt13692860	4	nm0267256	actress	\N	"[""Larissa""]"
tt13692860	5	nm1790560	director	\N	\N
tt13692860	6	nm1099514	writer	based on the novels by	\N
tt13692860	7	nm2113666	writer	written by	\N
tt13692860	8	nm1647070	producer	producer	\N
tt13692860	9	nm1154632	composer	\N	\N
tt13770546	1	nm2475763	self	\N	"[""Self - Presenter""]"
tt13770546	2	nm0493095	self	\N	"[""Self - Analyst""]"
tt13770546	3	nm1315944	self	\N	"[""Self - Analyst""]"
tt13770546	4	nm1763360	self	\N	"[""Self""]"
tt13770546	5	nm0970018	self	\N	"[""Self""]"
tt13770546	6	nm1324664	self	\N	"[""Self""]"
tt13791922	1	nm3628491	self	\N	"[""Self - Host""]"
tt13811304	1	nm1403536	self	\N	"[""Self"",""Host""]"
tt13811304	2	nm1402433	director	\N	\N
tt13871240	1	nm0449417	self	\N	"[""Self - Reporter""]"
tt13922568	1	nm0909787	self	\N	"[""Self""]"
tt1397073	1	nm0127485	actor	\N	"[""Mr. Marquez""]"
tt1397073	2	nm2512948	actor	\N	"[""Angel""]"
tt1397073	3	nm3515183	actress	\N	"[""Martha""]"
tt1397073	4	nm1743385	director	\N	\N
tt1397073	5	nm3354912	cinematographer	\N	\N
tt1397073	6	nm3065675	editor	\N	\N
tt13976300	1	nm5042664	self	\N	"[""Self"",""Presenter""]"
tt13980380	1	nm1267597	self	\N	"[""Self - Host""]"
tt13980380	2	nm0636985	self	\N	"[""Self - Panelist""]"
tt13980380	3	nm8445585	self	\N	"[""Self - Panelist""]"
tt14010930	1	nm6937043	actor	\N	"[""Thomas Bossmann""]"
tt14010930	2	nm1671318	actress	\N	"[""Nina Schmeuser""]"
tt14010930	3	nm1675187	actor	\N	"[""Bernie Kuhnt""]"
tt14010930	4	nm1671598	actress	\N	\N
tt14011990	10	nm6751016	cinematographer	\N	\N
tt14011990	1	nm10497761	actress	\N	"[""Reyhan""]"
tt14011990	2	nm7021525	actor	\N	"[""Emir""]"
tt14011990	3	nm12271428	actress	\N	"[""Narin""]"
tt14011990	4	nm3272008	actor	\N	"[""Kemal""]"
tt14011990	5	nm10497760	director	\N	\N
tt14011990	6	nm2375975	director	\N	\N
tt14011990	7	nm11871999	writer	script	\N
tt14011990	8	nm9918690	writer	story	\N
tt14011990	9	nm3244005	composer	\N	\N
tt14072124	10	nm2592214	self	\N	"[""Self""]"
tt14072124	1	nm0047991	self	\N	"[""Self - Host""]"
tt14072124	2	nm2106565	self	\N	"[""Self - Host""]"
tt14072124	3	nm0029023	self	\N	"[""Self""]"
tt14072124	4	nm11806386	self	\N	"[""Self""]"
tt14072124	5	nm1722952	self	\N	"[""Self""]"
tt14072124	6	nm2204961	self	\N	"[""Self""]"
tt14072124	7	nm2027234	self	\N	"[""Self""]"
tt14072124	8	nm1542808	self	\N	"[""Self""]"
tt14072124	9	nm2592187	self	\N	"[""Self""]"
tt1410504	1	nm0686022	self	\N	"[""Self - Host""]"
tt1410504	2	nm2181040	writer	writer	\N
tt1410504	3	nm0888441	composer	\N	\N
tt1410504	4	nm1164375	editor	\N	\N
tt1410504	5	nm2434611	editor	\N	\N
tt1410504	6	nm1184246	editor	\N	\N
tt1410504	7	nm1764933	editor	\N	\N
tt14356526	1	nm3495777	actress	\N	"[""Miss Misery""]"
tt1436849	10	nm1368986	composer	\N	\N
tt1436849	1	nm2066619	actress	\N	"[""Violeta Madrigal""]"
tt1436849	2	nm2004582	actor	\N	"[""José María Aldama""]"
tt1436849	3	nm0623109	actress	\N	"[""Antonia Madrigal""]"
tt1436849	4	nm0959660	actor	\N	"[""Mariano Lazcano""]"
tt1436849	5	nm0308948	director	\N	\N
tt1436849	6	nm0009484	writer	story	\N
tt1436849	7	nm1386702	writer	\N	\N
tt1436849	8	nm1039199	writer	adaptation	\N
tt1436849	9	nm1185004	writer	adaptation	\N
tt1437492	1	nm1772568	self	\N	"[""Self - Host""]"
tt1437492	2	nm3461612	self	\N	"[""Self""]"
tt1437492	3	nm0637009	actress	\N	"[""Dra.""]"
tt14378602	1	nm8011886	actress	\N	\N
tt14378602	2	nm0144583	actress	\N	\N
tt14378602	3	nm6885536	actor	\N	\N
tt1462135	1	nm0574686	actor	\N	"[""Steve Wilson""]"
tt1462135	2	nm0920345	actress	\N	"[""Lorelei Kilbourne""]"
tt14664458	1	nm3385200	actress	\N	\N
tt14694130	1	nm1740394	self	\N	"[""Self - Host""]"
tt14694130	2	nm0876942	self	\N	"[""Self""]"
tt14694130	3	nm0529591	self	\N	"[""Self""]"
tt14729916	10	nm2143320	self	\N	"[""Self - West Bromwich Albion""]"
tt14729916	1	nm0512633	self	\N	"[""Self - Presenter""]"
tt14729916	2	nm2581519	self	\N	"[""Self - Expert Analysis""]"
tt14729916	3	nm0790415	self	\N	"[""Self - Expert Analysis""]"
tt14729916	4	nm1313542	self	\N	"[""Self - Manager, West Ham Utd""]"
tt14729916	5	nm13233656	self	\N	"[""Self - Reporter""]"
tt14729916	6	nm0101001	self	\N	"[""Self - Commentator""]"
tt14729916	7	nm1588194	self	\N	"[""Self - Commentator""]"
tt14729916	8	nm0115587	self	\N	"[""Self - Manager, Hull City""]"
tt14729916	9	nm6315911	self	\N	"[""Self - Manager, Burnley""]"
tt14752678	1	nm5714740	actress	\N	"[""Melissa""]"
tt14752678	2	nm11995637	actor	\N	"[""Gustavo""]"
tt14752678	3	nm10888851	actress	\N	"[""Júlia""]"
tt14752678	4	nm9565063	director	\N	\N
tt14752678	5	nm11995638	writer	written by	\N
tt1477706	1	nm3285202	director	\N	\N
tt14810730	10	nm0164499	editor	\N	\N
tt14810730	1	nm7615637	self	\N	"[""Self - Host""]"
tt14810730	2	nm12710728	actress	\N	"[""Party Guests""]"
tt14810730	3	nm4381735	actress	\N	"[""Party Guests""]"
tt14810730	4	nm9888379	actress	\N	"[""Party Guests""]"
tt14810730	5	nm9091878	director	co-director	\N
tt14810730	6	nm1729641	director	co-director	\N
tt14810730	7	nm1420880	producer	producer	\N
tt14810730	8	nm1906520	cinematographer	\N	\N
tt14810730	9	nm1510237	editor	\N	\N
tt1487746	1	nm0001992	self	\N	"[""Self - Host""]"
tt1487746	2	nm0573012	self	\N	"[""Self - Announcer""]"
tt1487746	3	nm0786341	self	\N	"[""Self - Bandleader""]"
tt1487746	4	nm0001404	self	\N	"[""Self - Guest""]"
tt1487746	5	nm0103030	writer	head writer	\N
tt1487746	6	nm0208111	producer	producer	\N
tt1487746	7	nm0482881	self	\N	"[""Self""]"
tt1487746	8	nm0603402	self	\N	"[""Self - Guest""]"
tt1489416	10	nm1372735	writer	writer	\N
tt1489416	1	nm0453994	self	\N	"[""Self - Host""]"
tt1489416	2	nm1433978	self	\N	"[""Self""]"
tt1489416	3	nm0005179	self	\N	"[""Self - Guest""]"
tt1489416	4	nm0557733	self	\N	"[""Self""]"
tt1489416	5	nm0012948	writer	writer	\N
tt1489416	6	nm0007184	writer	writer	\N
tt1489416	7	nm1698562	writer	writer	\N
tt1489416	8	nm0121902	writer	writer	\N
tt1489416	9	nm0198636	writer	writer	\N
tt14912224	1	nm2212268	director	\N	\N
